GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
watch-leaderboard,com.leaderboard.dto,ErrorResponse,15,22,0,0,7,8,4,4,4,4
watch-leaderboard,com.leaderboard.dto,TokenResponse,11,15,0,0,5,6,3,3,3,3
watch-leaderboard,com.leaderboard.dto,UserTelemetryMessage,0,46,0,0,0,19,0,10,0,10
watch-leaderboard,com.leaderboard.dto,TelemetryEvent,0,36,0,0,0,15,0,8,0,8
watch-leaderboard,com.leaderboard.dto,RegisterRequest,0,38,0,0,0,16,0,11,0,11
watch-leaderboard,com.leaderboard.dto,LoginRequest,0,17,0,0,0,7,0,5,0,5
watch-leaderboard,com.leaderboard.serializer,EmailMaskingSerializer,13,41,3,3,6,10,3,2,0,2
watch-leaderboard,com.leaderboard.serializer,PhoneMaskingSerializer,10,27,2,2,4,6,2,2,0,2
watch-leaderboard,com.leaderboard,WatchLeaderboardApplication,5,3,0,0,2,1,1,1,1,1
watch-leaderboard,com.leaderboard.model,UserTask,24,46,0,0,12,13,6,8,6,8
watch-leaderboard,com.leaderboard.model,Badge,39,18,0,0,17,7,11,3,11,3
watch-leaderboard,com.leaderboard.model,UserChallenge,16,76,0,0,8,24,4,14,4,14
watch-leaderboard,com.leaderboard.model,User,0,98,0,0,0,37,0,20,0,20
watch-leaderboard,com.leaderboard.model,Leaderboard,35,18,0,0,15,7,10,2,10,2
watch-leaderboard,com.leaderboard.model,Challenge,0,107,0,0,0,43,0,27,0,27
watch-leaderboard,com.leaderboard.model,Device,0,43,0,0,0,15,0,8,0,8
watch-leaderboard,com.leaderboard.model,Role,0,24,0,0,0,3,0,1,0,1
watch-leaderboard,com.leaderboard.model,UserActivity,59,12,0,0,21,3,11,1,11,1
watch-leaderboard,com.leaderboard.model,Task,0,53,0,0,0,22,0,12,0,12
watch-leaderboard,com.leaderboard.controller,ChallengeController,0,44,0,0,0,8,0,6,0,6
watch-leaderboard,com.leaderboard.controller,HealthController,0,21,0,0,0,5,0,2,0,2
watch-leaderboard,com.leaderboard.controller,RankController,17,26,0,0,4,8,0,2,0,2
watch-leaderboard,com.leaderboard.controller,GameController,17,26,0,0,4,8,0,2,0,2
watch-leaderboard,com.leaderboard.controller,AuthController,10,103,2,4,3,24,3,4,1,3
watch-leaderboard,com.leaderboard.controller,UserController,5,165,3,7,1,34,3,8,0,6
watch-leaderboard,com.leaderboard.controller,DeviceController,0,26,0,0,0,6,0,4,0,4
watch-leaderboard,com.leaderboard.controller,TaskController,0,40,0,0,0,8,0,6,0,6
watch-leaderboard,com.leaderboard.exception,GlobalExceptionHandler,37,42,0,0,7,7,2,4,2,4
watch-leaderboard,com.leaderboard.service,KafkaProducerService,7,25,0,0,1,8,0,2,0,2
watch-leaderboard,com.leaderboard.service,RankService,0,26,0,0,0,9,0,2,0,2
watch-leaderboard,com.leaderboard.service,KafkaConsumerService,177,53,18,0,29,16,9,3,0,3
watch-leaderboard,com.leaderboard.service,ChallengeService,25,286,17,25,5,57,16,17,1,11
watch-leaderboard,com.leaderboard.service,GameService,0,26,0,0,0,9,0,2,0,2
watch-leaderboard,com.leaderboard.service,DeviceService,14,43,1,1,1,10,2,4,1,4
watch-leaderboard,com.leaderboard.service,UserService,51,145,6,6,4,35,10,6,4,6
watch-leaderboard,com.leaderboard.service,TaskService,7,60,0,0,0,15,1,6,1,6
watch-leaderboard,com.leaderboard.config,JwtTokenProvider,42,59,0,0,16,17,3,2,3,2
watch-leaderboard,com.leaderboard.config,CustomUserDetailsService,0,36,0,0,0,9,0,3,0,3
watch-leaderboard,com.leaderboard.config,BatchConfig,42,326,10,22,6,75,8,24,0,16
watch-leaderboard,com.leaderboard.config,EmbeddedKafkaConfig,26,0,0,0,5,0,2,0,2,0
watch-leaderboard,com.leaderboard.config,JwtAuthenticationFilter,52,30,6,2,11,11,4,3,0,3
watch-leaderboard,com.leaderboard.config,SecurityConfig,23,118,0,0,4,24,1,10,1,10
watch-leaderboard,com.leaderboard.config,OpenApiConfig,0,40,0,0,0,13,0,2,0,2
watch-leaderboard,com.leaderboard.config,BatchConfig.new ItemReader() {...},0,41,0,4,0,7,0,4,0,2
watch-leaderboard,com.leaderboard.config,BatchConfig.new ItemReader() {...},0,38,0,4,0,7,0,4,0,2
